Date,6B=F
2001-10-04,1.4708000421524048
2001-10-05,1.4747999906539917
2001-10-08,1.4747999906539917
2001-10-09,1.4534000158309937
2001-10-10,1.4456000328063965
2001-10-11,1.4390000104904175
2001-10-12,1.4456000328063965
2001-10-15,1.4434000253677368
2001-10-16,1.4429999589920044
2001-10-17,1.4423999786376953
2001-10-18,1.440999984741211
2001-10-19,1.430400013923645
2001-10-22,1.420199990272522
2001-10-23,1.4206000566482544
2001-10-24,1.4240000247955322
2001-10-25,1.4248000383377075
2001-10-26,1.43340003490448
2001-10-29,1.4486000537872314
2001-10-30,1.4492000341415405
2001-10-31,1.4515999555587769
2001-11-01,1.4589999914169312
2001-11-02,1.4586000442504883
2001-11-05,1.4565999507904053
2001-11-06,1.457200050354004
2001-11-07,1.4592000246047974
