Date,6S=F
2001-10-11,0.6082000136375427
2001-10-12,0.6139000058174133
2001-10-15,0.6147000193595886
2001-10-16,0.612500011920929
2001-10-17,0.6100999712944031
2001-10-18,0.6118000149726868
2001-10-19,0.6090999841690063
2001-10-22,0.603600025177002
2001-10-23,0.6021999716758728
2001-10-24,0.6032999753952026
2001-10-25,0.6057999730110168
2001-10-26,0.6047999858856201
2001-10-29,0.6133999824523926
2001-10-30,0.6159999966621399
2001-10-31,0.6122000217437744
2001-11-01,0.6141999959945679
2001-11-02,0.6129999756813049
2001-11-05,0.6093999743461609
2001-11-06,0.6101999878883362
2001-11-07,0.6093999743461609
2001-11-08,0.609000027179718
2001-11-09,0.6097999811172485
2001-11-12,0.6097999811172485
2001-11-13,0.598800003528595
2001-11-14,0.6014000177383423
2001-11-15,0.6014999747276306
